City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
89,Castro,-24.7911,-50.0119,56.53,98,100,3.29,BR,overcast clouds
90,Micco,27.8806,-80.5003,90.05,63,100,3.0,US,overcast clouds
91,Narsaq,60.9167,-46.05,48.42,61,4,2.48,GL,clear sky
92,Cabo San Lucas,22.8909,-109.9124,96.8,47,1,4.61,MX,clear sky
93,Grand Gaube,-20.0064,57.6608,73.38,82,51,1.99,MU,broken clouds
94,Lavrentiya,65.5833,-171.0,34.74,80,8,10.85,RU,clear sky
95,Mozarlandia,-14.7447,-50.5706,94.69,25,100,2.46,BR,overcast clouds
96,San Policarpo,12.1791,125.5072,77.97,90,99,3.51,PH,overcast clouds
97,Shiyan,32.6475,110.7781,72.97,86,100,1.03,CN,light rain
98,Khatanga,71.9667,102.5,35.85,99,96,5.44,RU,overcast clouds
99,Lasa,46.6166,10.7002,75.2,44,20,10.36,IT,few clouds
100,Kaitangata,-46.2817,169.8464,49.59,94,100,6.35,NZ,overcast clouds
101,Upernavik,72.7868,-56.1549,31.69,92,100,5.7,GL,overcast clouds
102,Cape Town,-33.9258,18.4232,57.11,71,0,2.86,ZA,clear sky
103,Georgetown,5.4112,100.3354,82.89,86,40,5.75,MY,scattered clouds
104,Cuenca,-2.8833,-78.9833,64.53,68,75,10.36,EC,light rain
105,Kurumkan,54.3,110.3,34.63,58,4,3.18,RU,clear sky
106,Marsh Harbour,26.5412,-77.0636,79.56,72,28,10.96,BS,light rain
107,Betare Oya,5.6,14.0833,72.28,85,54,2.51,CM,broken clouds
108,Tuatapere,-46.1333,167.6833,49.82,96,100,7.83,NZ,overcast clouds
109,Nioro,13.35,-15.75,88.47,40,29,12.01,GM,scattered clouds
110,Daru,-9.0763,143.2092,77.97,80,100,14.34,PG,overcast clouds
111,Thompson,55.7435,-97.8558,46.56,66,75,6.91,CA,broken clouds
112,Havoysund,70.9963,24.6622,43.03,96,100,29.57,NO,light rain
113,Berlevag,70.8578,29.0864,42.75,75,75,19.57,NO,broken clouds
114,Isla Vista,34.4133,-119.861,77.27,70,40,10.36,US,scattered clouds
115,Geraldton,-28.7667,114.6,57.61,88,75,18.23,AU,light rain
116,Victoria,22.2855,114.1577,86.38,89,100,1.01,HK,light rain
117,Pevek,69.7008,170.3133,39.0,68,0,5.17,RU,clear sky
118,Tura,25.5198,90.2201,73.65,96,98,4.14,IN,overcast clouds
119,Kruisfontein,-34.0033,24.7314,56.88,75,100,8.46,ZA,overcast clouds
120,Longyearbyen,78.2186,15.6401,33.64,75,75,5.75,SJ,broken clouds
121,Ostrovnoy,68.0531,39.5131,42.19,87,100,13.51,RU,overcast clouds
122,Salmon Creek,45.7107,-122.649,75.54,55,1,1.01,US,clear sky
123,Fortuna,40.5982,-124.1573,61.86,76,100,1.99,US,overcast clouds
124,Suileng,47.25,127.0833,51.15,86,100,6.13,CN,overcast clouds
125,Barrow,71.2906,-156.7887,30.22,86,90,12.66,US,overcast clouds
126,Phayao,19.25,100.25,73.94,95,99,2.95,TH,overcast clouds
127,Hilo,19.7297,-155.09,78.8,73,40,5.75,US,scattered clouds
128,Souillac,-20.5167,57.5167,73.36,94,40,6.85,MU,scattered clouds
129,Eresos,39.1667,25.9333,72.91,71,100,2.48,GR,overcast clouds
130,Nantucket,41.2835,-70.0995,51.8,93,90,14.97,US,mist
131,Bluff,-46.6,168.3333,49.8,92,100,22.06,NZ,overcast clouds
132,Nemuro,43.3236,145.575,40.46,89,100,19.22,JP,overcast clouds
133,Eyl,7.9803,49.8164,80.2,79,100,20.49,SO,overcast clouds
134,Laguna,38.421,-121.4238,90.64,50,1,1.01,US,clear sky
135,Viedma,-40.8135,-62.9967,56.46,41,100,17.13,AR,overcast clouds
136,Esperance,-33.8667,121.9,55.24,82,71,20.31,AU,moderate rain
137,Kavaratti,10.5669,72.642,82.98,76,96,16.31,IN,overcast clouds
138,Ginir,7.1333,40.7,59.16,62,59,5.26,ET,broken clouds
139,Kasongo-Lunda,-6.4667,16.8167,74.91,49,8,1.32,CD,clear sky
140,Inuvik,68.3499,-133.7218,43.66,49,20,6.91,CA,few clouds
141,Nhulunbuy,-12.2333,136.7667,75.81,83,40,8.05,AU,scattered clouds
142,Gat,31.61,34.7642,78.01,53,2,5.68,IL,clear sky
143,Krasnyy Chikoy,50.3643,108.7512,31.06,90,48,2.57,RU,scattered clouds
144,Hasaki,35.7333,140.8333,61.2,69,55,12.06,JP,broken clouds
145,Hithadhoo,-0.6,73.0833,83.52,72,15,16.78,MV,few clouds
146,Do Gonbadan,30.3586,50.7981,91.49,6,0,0.0,IR,clear sky
147,Shingu,33.7333,135.9833,60.91,74,0,4.99,JP,clear sky
148,Ulkan,57.243,107.3223,34.72,94,83,2.21,RU,broken clouds
149,Airai,-8.9266,125.4092,57.99,89,100,1.39,TL,overcast clouds
150,Yulara,-25.2406,130.9889,55.24,41,100,11.5,AU,overcast clouds
151,Mangrol,21.1167,70.1167,82.76,78,96,12.33,IN,overcast clouds
152,Salalah,17.0151,54.0924,84.2,84,40,10.36,OM,scattered clouds
153,Hinatuan,8.3722,126.3342,74.79,95,100,5.84,PH,light rain
154,Kavieng,-2.5744,150.7967,80.82,81,100,9.51,PG,moderate rain
155,Olavarria,-36.8927,-60.3225,52.9,54,35,10.2,AR,scattered clouds
156,Karasjok,69.4719,25.5112,46.4,61,75,1.14,NO,broken clouds
157,Noumea,-22.2763,166.4572,69.01,99,99,10.47,NC,overcast clouds
158,Beaumont,30.0861,-94.1019,82.4,54,1,3.44,US,clear sky
159,Nouadhibou,20.931,-17.0347,71.58,73,88,17.27,MR,overcast clouds
160,Rach Gia,10.0167,105.0833,80.6,94,20,1.14,VN,few clouds
161,Seoul,37.5683,126.9778,63.97,91,90,3.71,KR,overcast clouds
162,Talnakh,69.4865,88.3972,37.27,84,100,26.31,RU,light rain
163,Dubrovka,53.6907,33.5071,49.98,81,100,4.68,RU,overcast clouds
164,Fort Nelson,58.8053,-122.7002,62.19,31,75,2.3,CA,broken clouds
165,Constitucion,-35.3333,-72.4167,60.04,56,100,9.82,CL,overcast clouds
166,Honningsvag,70.9821,25.9704,42.55,87,75,20.71,NO,broken clouds
167,Omboue,-1.5746,9.2618,76.57,90,84,8.12,GA,light rain
168,Sitka,57.0531,-135.33,51.69,82,90,4.61,US,light rain
169,Roma,43.2128,-75.4557,57.81,70,90,8.05,US,overcast clouds
170,Bambanglipuro,-7.95,110.2833,62.6,87,66,3.4,ID,broken clouds
171,Chenzhou,25.8,113.0333,71.15,99,100,2.26,CN,overcast clouds
172,Labateca,7.2985,-72.4944,72.82,77,96,4.32,CO,overcast clouds
173,Benguela,-12.5763,13.4055,74.89,77,3,6.8,AO,clear sky
174,Atar,20.5169,-13.0499,96.91,19,100,8.25,MR,overcast clouds
175,Sao Filipe,14.8961,-24.4956,73.62,76,72,15.79,CV,broken clouds
176,Avarua,-21.2078,-159.775,68.05,83,51,2.3,CK,broken clouds
177,Yellowknife,62.456,-114.3525,45.12,65,75,9.22,CA,broken clouds
178,Chernenko,44.365,39.3103,56.26,94,1,4.74,RU,clear sky
179,Bengkulu,-3.8004,102.2655,76.26,87,77,6.11,ID,light rain
180,Sardarpur,22.678,74.9484,81.84,53,6,12.19,IN,clear sky
181,Teeli,51.0333,90.2333,46.96,48,75,1.5,RU,broken clouds
182,Rosario,-32.9468,-60.6393,67.95,30,0,4.0,AR,clear sky
183,Vidim,56.4088,103.1106,29.73,96,54,1.5,RU,broken clouds
184,Souris,49.6172,-100.2612,65.73,43,9,17.72,CA,clear sky
185,Severo-Kurilsk,50.6789,156.125,38.8,97,100,16.71,RU,light rain
186,Chuy,-33.6971,-53.4616,54.95,49,13,10.18,UY,few clouds
187,Tecoanapa,16.5167,-98.75,89.04,57,100,12.57,MX,overcast clouds
188,Mar Del Plata,-38.0023,-57.5575,57.99,41,0,1.01,AR,clear sky
189,Zapresic,45.8564,15.8078,58.77,79,9,3.6,HR,clear sky
190,Riyadh,24.6877,46.7219,96.94,9,0,8.95,SA,clear sky
191,Norman Wells,65.282,-126.8329,42.84,75,75,14.97,CA,broken clouds
192,Berezovyy,51.6667,135.7,46.56,97,94,3.0,RU,overcast clouds
193,Trincomalee,8.5711,81.2335,82.31,75,94,19.71,LK,overcast clouds
194,Pucallpa,-8.3791,-74.5539,82.44,78,75,8.05,PE,broken clouds
195,Lamar,33.6668,-95.5836,71.53,67,1,9.22,US,clear sky
196,Kempele,64.9131,25.5034,51.8,58,0,5.75,FI,clear sky
197,Rodrigues Alves,-7.738,-72.6509,88.0,47,30,1.79,BR,scattered clouds
198,Rocha,-34.4833,-54.3333,52.52,55,0,11.36,UY,clear sky
199,Damavand,35.7178,52.065,76.84,21,0,3.96,IR,clear sky
200,Hambantota,6.1241,81.1185,80.94,89,40,18.97,LK,scattered clouds
201,Shenzhen,22.5455,114.0683,86.27,94,100,9.8,CN,overcast clouds
202,Paamiut,61.994,-49.6678,35.58,90,31,20.11,GL,scattered clouds
203,Nosy Varika,-20.5833,48.5333,74.37,82,57,10.18,MG,broken clouds
204,Ponta Do Sol,32.6667,-17.1,69.71,79,40,5.5,PT,scattered clouds
205,Clyde River,70.4692,-68.5914,30.2,80,75,4.61,CA,broken clouds
206,Katsuura,35.1333,140.3,66.31,79,0,12.84,JP,clear sky
207,Sao Joao Da Barra,-21.6403,-41.0511,82.4,69,20,16.11,BR,few clouds
208,Panama City,8.9936,-79.5197,87.13,71,20,8.05,PA,few clouds
209,Mato Verde,-15.3972,-42.8664,90.52,21,6,7.72,BR,clear sky
210,Kaniama,-7.5667,24.1833,67.98,39,12,5.26,CD,few clouds
211,Pierre,44.3683,-100.351,74.32,51,1,3.0,US,clear sky
212,Carutapera,-1.195,-46.02,82.04,79,9,8.63,BR,clear sky
213,Abu Samrah,35.3029,37.1841,73.9,38,0,7.47,SY,clear sky
214,Ripon,54.1352,-1.5212,66.2,59,4,8.05,GB,clear sky
215,Dwarka,22.2394,68.9678,83.1,83,100,16.44,IN,overcast clouds
216,Margate,51.3813,1.3862,56.91,75,6,4.0,GB,clear sky
217,Vredendal,-31.6683,18.5012,57.43,61,65,10.4,ZA,broken clouds
218,Leiyang,26.4024,112.8591,70.36,97,100,0.6,CN,overcast clouds
219,Minsk,53.9,27.5667,57.0,50,0,6.71,BY,clear sky
220,Izumo,35.3667,132.7667,55.4,88,20,3.44,JP,few clouds
221,Abha,18.2164,42.5053,73.22,60,0,4.81,SA,clear sky
222,Saint George,37.1041,-113.5841,93.67,12,1,1.99,US,clear sky
223,Statesboro,32.4488,-81.7832,81.72,44,75,0.0,US,broken clouds
224,Tessalit,20.1986,1.0114,100.96,7,100,10.54,ML,overcast clouds
225,Phan Thiet,10.9333,108.1,79.88,86,3,7.38,VN,clear sky
226,Hovd,48.0056,91.6419,49.3,35,4,0.78,MN,clear sky
227,Togur,58.3631,82.8265,54.84,86,95,8.05,RU,overcast clouds
228,Ancud,-41.8697,-73.8203,55.0,100,90,9.22,CL,moderate rain
229,Korla,41.7597,86.1469,76.82,21,2,5.82,CN,clear sky
230,Xudat,41.631,48.681,66.02,82,31,6.73,AZ,scattered clouds
231,Te Anau,-45.4167,167.7167,47.77,96,100,5.28,NZ,light rain
232,Quiruvilca,-7.9667,-78.2,49.95,54,88,6.71,PE,overcast clouds
233,Brae,60.3964,-1.353,48.11,86,10,10.89,GB,clear sky
234,Springdale,36.1867,-94.1288,69.01,65,40,0.0,US,scattered clouds
235,Karlskrona,56.1616,15.5866,55.85,64,5,5.5,SE,clear sky
236,Caluquembe,-13.7833,14.6833,59.49,26,0,3.15,AO,clear sky
237,Taksimo,56.3444,114.8794,34.23,90,100,2.77,RU,overcast clouds
238,Tonj,7.2737,28.6822,82.45,53,12,6.76,SS,few clouds
239,Samarai,-10.6167,150.6667,79.41,75,100,15.3,PG,overcast clouds
240,Marshall,34.3834,-86.3333,74.07,59,1,5.26,US,clear sky
241,Torbay,47.6666,-52.7314,61.57,36,20,10.36,CA,few clouds
242,Faanui,-16.4833,-151.75,79.92,77,100,16.04,PF,overcast clouds
243,Huarmey,-10.0681,-78.1522,71.15,74,7,11.63,PE,clear sky
244,Impfondo,1.6381,18.0667,79.95,67,99,1.66,CG,overcast clouds
245,Borogontsy,62.6683,131.1683,45.28,93,100,6.91,RU,overcast clouds
246,Joshimath,30.5667,79.5667,63.57,73,76,1.95,IN,broken clouds
247,Lewistown,40.5992,-77.5714,52.93,79,90,0.0,US,overcast clouds
248,Karratha,-20.7377,116.8463,68.2,57,27,10.98,AU,scattered clouds
249,Buraydah,26.326,43.975,100.85,13,9,9.6,SA,clear sky
250,Umm Lajj,25.0213,37.2685,86.36,51,7,7.4,SA,clear sky
251,Spearfish,44.4908,-103.8594,69.12,24,1,1.99,US,clear sky
252,Mount Gambier,-37.8333,140.7667,40.91,81,51,10.36,AU,broken clouds
253,Kaeo,-35.1,173.7833,51.33,96,39,15.48,NZ,scattered clouds
254,Nipawin,53.3668,-104.0009,59.0,41,1,9.22,CA,clear sky
255,Yanagawa,33.1667,130.4,63.0,43,0,2.28,JP,clear sky
256,Hobyo,5.3505,48.5268,79.34,83,67,23.49,SO,broken clouds
257,Severnyy,50.677,36.5532,51.84,100,90,8.95,RU,overcast clouds
258,Chapais,49.7834,-74.8492,65.98,24,8,7.52,CA,clear sky
259,Itoman,26.1247,127.6694,75.22,96,75,9.22,JP,light rain
260,Minab,27.1467,57.0801,87.3,34,1,4.43,IR,clear sky
261,Mengyin,35.7069,117.9264,67.23,76,1,4.65,CN,clear sky
262,Houma,29.5958,-90.7195,81.0,65,1,8.05,US,clear sky
263,Mitu,1.1983,-70.1733,75.04,97,100,2.93,CO,overcast clouds
264,Caruray,10.3094,119.0128,80.71,85,91,3.18,PH,overcast clouds
265,Leh,34.1667,77.5833,51.21,50,100,3.0,IN,overcast clouds
266,Wattens,47.2722,11.5993,60.01,38,20,12.66,AT,few clouds
267,Galesong,-5.3166,119.3661,73.42,82,100,4.09,ID,overcast clouds
268,Swan River,52.1058,-101.2676,49.89,62,99,8.05,CA,overcast clouds
269,Rantepao,-2.9701,119.8978,67.95,98,96,0.65,ID,overcast clouds
270,Harper,4.375,-7.7169,79.2,86,100,8.16,LR,light rain
271,Qaqortoq,60.7167,-46.0333,48.2,46,4,6.91,GL,clear sky
272,Usinsk,65.9939,57.5281,38.98,71,100,10.67,RU,overcast clouds
273,Hofn,64.2539,-15.2082,46.67,99,100,18.9,IS,moderate rain
274,Pokaran,26.9167,71.9167,93.11,47,13,18.1,IN,few clouds
275,Peniche,39.3558,-9.3811,76.48,84,89,10.16,PT,overcast clouds
276,Fukue,32.6881,128.8419,68.07,72,0,5.26,JP,clear sky
277,Haines Junction,60.7522,-137.5108,53.55,43,96,8.05,CA,overcast clouds
278,Lorengau,-2.0226,147.2712,80.29,84,100,7.76,PG,overcast clouds
279,Udachnyy,66.4167,112.4,50.72,44,28,4.97,RU,scattered clouds
280,Bilma,18.6853,12.9164,93.99,8,1,5.12,NE,clear sky
281,Takestan,36.0696,49.6959,75.16,17,0,11.9,IR,clear sky
282,Comodoro Rivadavia,-45.8667,-67.5,41.0,93,40,2.3,AR,scattered clouds
283,Ayan,56.45,138.1667,37.06,95,98,4.74,RU,overcast clouds
284,Chernyshevskiy,63.0128,112.4714,46.62,91,95,4.05,RU,overcast clouds
285,Grindavik,63.8424,-22.4338,48.67,87,75,14.83,IS,broken clouds
286,Vohibinany,-17.35,49.0333,66.49,96,3,2.37,MG,clear sky
287,Codrington,-38.2667,141.9667,40.21,68,6,8.5,AU,clear sky
288,Labuhan,-6.8844,112.2051,77.22,88,100,6.58,ID,overcast clouds
289,Fairbanks,64.8378,-147.7164,61.14,54,40,0.0,US,scattered clouds
290,Manta,-0.95,-80.7333,80.6,74,75,8.05,EC,broken clouds
291,Omsukchan,62.5333,155.8,34.77,77,100,6.24,RU,overcast clouds
292,Vetluga,57.8557,45.781,44.74,57,100,9.17,RU,overcast clouds
293,General Roca,-39.0333,-67.5833,59.0,44,0,2.3,AR,clear sky
294,Belyy Yar,53.6039,91.3903,49.89,71,0,6.6,RU,clear sky
295,Shunyi,40.125,116.6453,61.0,88,0,2.24,CN,light rain
296,Goderich,43.7501,-81.7165,69.03,66,6,11.5,CA,clear sky
297,Thinadhoo,0.5333,72.9333,83.43,72,23,18.21,MV,few clouds
298,Nurota,40.5614,65.6886,80.69,18,0,8.48,UZ,clear sky
299,Leningradskiy,69.3833,178.4167,35.31,87,99,1.81,RU,overcast clouds
300,Medea,36.2642,2.7539,69.8,78,75,10.36,DZ,broken clouds
301,Lagoa,39.05,-27.9833,63.64,77,97,9.08,PT,overcast clouds
302,Bima,-8.4667,118.7167,72.37,93,93,2.55,ID,overcast clouds
303,Quatre Cocos,-20.2078,57.7625,73.09,80,40,6.93,MU,scattered clouds
304,Srednekolymsk,67.45,153.6833,57.27,39,9,7.63,RU,clear sky
305,Ribeira Grande,38.5167,-28.7,70.2,64,40,14.97,PT,scattered clouds
306,Phultala,22.7,89.5167,82.99,84,92,9.93,BD,overcast clouds
307,Charlestown,-32.95,151.6667,56.73,78,80,5.01,AU,broken clouds
308,Tezu,27.9167,96.1667,74.98,77,77,4.0,IN,broken clouds
309,Aviles,43.5547,-5.9248,67.77,75,20,5.99,ES,few clouds
310,Sunrise Manor,36.2111,-115.0731,96.93,11,1,4.0,US,clear sky
311,Aksu,41.1231,80.2644,78.28,27,87,13.94,CN,overcast clouds
312,Bambous Virieux,-20.3428,57.7575,73.22,94,40,6.69,MU,scattered clouds
313,Coquimbo,-29.9533,-71.3436,56.93,88,20,7.43,CL,few clouds
314,Praia Da Vitoria,38.7333,-27.0667,68.25,73,40,12.1,PT,scattered clouds
315,Nanortalik,60.1432,-45.2371,37.76,85,29,16.22,GL,scattered clouds
316,Boende,-0.2167,20.8667,78.55,71,62,2.86,CD,broken clouds
317,Batticaloa,7.7102,81.6924,82.47,75,87,3.62,LK,overcast clouds
318,Asosa,10.0667,34.5333,70.32,40,0,3.6,ET,clear sky
319,Surman,32.7567,12.5716,72.88,60,6,13.04,LY,clear sky
320,Lesogorsk,56.0458,99.5136,37.83,98,100,2.48,RU,light rain
321,Dandong,40.1292,124.3947,54.1,80,0,4.23,CN,clear sky
322,Gamba,-2.65,10.0,75.87,91,100,6.78,GA,light rain
323,Namie,37.4833,141.0,54.72,79,0,5.21,JP,clear sky
324,Fort Smith,35.3859,-94.3986,74.21,61,1,4.0,US,clear sky
325,Port Macquarie,-31.4333,152.9167,55.36,83,33,10.38,AU,scattered clouds
326,San Pedro,14.35,121.0167,83.43,84,20,1.72,PH,few clouds
327,Cidreira,-30.1811,-50.2056,56.14,48,73,10.74,BR,broken clouds
328,Mabaruma,8.2,-59.7833,79.72,88,100,6.33,GY,overcast clouds
329,Vao,-22.6667,167.4833,69.93,56,61,16.69,NC,broken clouds
330,Barra Patuca,15.8,-84.2833,86.88,57,100,11.21,HN,overcast clouds
331,Djambala,-2.5447,14.7533,78.04,61,100,3.65,CG,overcast clouds
332,Alofi,-19.0595,-169.9187,75.09,94,64,3.44,NU,light rain
333,Panjakent,39.4952,67.6093,78.6,31,5,7.61,TJ,clear sky
334,Marsa Matruh,31.3525,27.2453,86.2,42,0,11.5,EG,clear sky
335,Mecca,21.4267,39.8261,91.92,34,70,4.21,SA,broken clouds
336,Luderitz,-26.6481,15.1594,60.24,69,2,17.78,NA,clear sky
337,Dingle,10.9995,122.6711,78.31,89,100,1.19,PH,overcast clouds
338,Urumqi,43.801,87.6005,72.55,23,0,4.25,CN,clear sky
339,Husavik,66.0449,-17.3389,57.11,57,100,13.35,IS,overcast clouds
340,Adjumani,3.3779,31.7909,76.68,63,95,3.4,UG,overcast clouds
341,Natal,-5.795,-35.2094,86.65,58,20,11.25,BR,few clouds
342,Beyneu,45.3167,55.2,85.78,25,1,10.78,KZ,clear sky
343,Bulancak,40.9372,38.2291,64.22,82,0,3.96,TR,clear sky
344,Aitape,-3.1374,142.3475,77.95,88,100,3.89,PG,moderate rain
345,Port Hedland,-20.3167,118.5667,68.05,83,75,5.75,AU,broken clouds
346,Pacific Grove,36.6177,-121.9166,78.8,79,20,1.01,US,few clouds
347,Tiznit,29.5833,-9.5,78.89,39,100,3.85,MA,overcast clouds
348,Canico,32.6333,-16.85,69.71,74,20,8.57,PT,few clouds
349,Valparaiso,-33.0393,-71.6273,75.43,40,0,20.71,CL,clear sky
350,Arona,28.0996,-16.681,68.02,67,20,10.0,ES,few clouds
351,Vila Franca Do Campo,37.7167,-25.4333,66.61,69,8,9.33,PT,clear sky
